,FA 22:6,FA 22:5,FA 22:4,FA 20:5,FA 20:4,FA 20:3,FA 18:3,FA 18:2,FA 18:1,FA 18:0,FA 17:1,FA 17:0,FA 16:1,FA 16:0,FA 15:0,FA 14:1,FA 14:0,BMP 34:3(18:2_16:1),BMP 34:2(18:2_16:0),BMP 36:4(16:0_20:4),BMP 36:4(16:1_20:3),BMP 36:4(18:2_18:2),BMP 36:3(16:0_20:3),BMP 36:3(18:2_18:1),BMP 36:2(18:2_18:0),BMP 36:2(18:1_18:1),BMP 38:6(16:0_22:6),BMP 38:6(16:1_22:5),BMP 38:6(18:2_20:4),BMP 38:5(16:0_22:5),BMP 38:5(18:1_20:4),BMP 38:4(18:0_20:4),BMP 38:3(18:0_20:3),BMP 40:7(18:1_22:6),BMP 40:8(18:2_22:6),BMP 42:8(20:4_22:4),BMP 44:12(22:6_22:6),PA 34:2(16:0_18:2),PA 34:2(18:1_16:1),PA 34:1(18:0_16:1),PA 34:1(16:0_18:1),PA 36:2(18:0_18:2),PA 36:2(18:1_18:1),PA 36:1(18:0_18:1),PA 38:6(18:1_20:5),PA 38:5(18:1_20:4),PA 38:4(18:0_20:4),PA 38:3(18:0_20:3),PC 32:2(16:1_16:1),PC 32:1(16:0_16:1),PC 34:3(16:1_18:2),PC 34:2(16:0_18:2),PC 34:2(16:1_18:1),PC 34:1(16:0_18:1),PC 34:1(16:1_18:0),PC 36:5(20:5_16:0),PC 36:5(20:4_16:1),PC 36:4(20:4_16:0),PC 36:4(20:3_16:1),PC 36:4(18:2_18:2),PC 36:3(20:3_16:0),PC 36:3(18:1_18:2),PC 36:2(18:0_18:2),PC 36:2(18:1_18:1),PC 36:1(18:0_18:1),PC 38:6(22:6_16:0),PC 38:6(22:5_16:1),PC 38:6(20:4_18:2),PC 38:5(22:5_16:0),PC 38:5(22:4_16:1),PC 38:5(20:4_18:1),PC 38:5(20:3_18:2),PC 38:4(20:4_18:0),PC 38:4(20:3_18:1),PC 38:3(20:3_18:0),PC 40:7(22:6_18:1),PC 40:7(22:5_18:2),PC 40:7(20:4_20:3),PC 40:6(22:6_18:0),PC 40:6(22:5_18:1),PC 40:6(20:4_20:2),PC 40:6(20:3_20:3),PC 40:5(22:5_18:0),PC 40:5(20:4_20:1),PC 40:5(20:3_20:2),PC 42:7(22:6_20:1),PC 42:7(22:5_20:2),PC 42:7(20:4_22:3),PC 42:7(20:3_22:4),PC 42:6(22:6_20:0),PC 42:6(22:5_20:1),PC 42:6(20:4_22:2),PC 42:6(20:3_22:3),PC 42:5(22:5_20:0),PC 42:5(20:4_22:1),PC 42:5(20:3_22:2),PG 34:3(18:2_16:1),PG 34:2(18:2_16:0),PG 36:4(16:0_20:4),PG 36:4(16:1_20:3),PG 36:4(18:2_18:2),PG 36:3(16:0_20:3),PG 36:3(18:2_18:1),PG 36:2(18:2_18:0),PG 36:2(18:1_18:1),PG 38:6(16:0_22:6),PG 38:6(16:1_22:5),PG 38:6(18:2_20:4),PG 38:5(16:0_22:5),PG 38:5(18:1_20:4),PG 38:4(18:0_20:4),PG 38:3(18:0_20:3),PG 40:7(18:1_22:6),PG 40:8(18:2_22:6),PG 42:8(20:4_22:4),PG 44:12(22:6_22:6),PI 34:2(18:1_16:1),PI 34:2(18:2_16:0),PI 34:1(18:1_16:0),PI 34:1(18:0_16:1),PI 36:4(18:2_18:2),PI 36:4(16:0_20:4),PI 36:3(18:2_18:1),PI 36:3(16:0_20:3),PI 36:2(18:1_18:1),PI 36:2(18:2_18:0),PI 36:1(18:1_18:0),PI 38:6(16:0_22:6),PI 38:5(16:0_22:5),PI 38:5(18:0_20:5),PI 38:4(18:0_20:4),PI 38:3(18:0_20:3),PI 40:6(18:0_22:6),PI 40:5(18:0_22:5),PI 40:4(20:0_20:4),PS 36:2(18:1_18:1),PS 36:1(18:0_18:1),PS 38:6(16:0_22:6),PS 38:5(16:0_22:5),PS 38:5(18:1_20:4),PS 38:4(18:0_20:4),PS 38:3(18:0_20:3),PS 40:6(18:0_22:6),PS 40:5(18:0_22:5)
Con1,0.280779504,-0.033394937,-1.108800768,0.717663878,-1.098569321,-1.344494513,-1.534274909,-0.772616265,-0.431020803,-0.363527616,-0.092834684,-0.443914593,0.039136178,-0.827277545,-0.671080487,-0.739653174,-1.074749567,-0.050682677,-0.169141662,-1.183448465,-0.158853761,-1.516192903,-0.197481946,-0.328905726,-0.214485118,0.184095623,0.435829766,0.323198589,-1.134867649,0.37804367,-1.170251665,-1.201016171,-0.180672007,0.377098044,0.22757316,-1.015963366,0.642493827,-0.212242107,-0.093314832,-0.270403073,-0.142134578,0.112002904,0.120175715,0.095739926,0.168367123,-1.389638387,-1.352432425,0.004480822,-0.149302824,-0.450870099,-0.102067593,-0.279001658,-0.307308348,-0.037684273,-0.34318836,0.638276649,-1.375600227,-1.113298451,0.715055038,0.200598737,0.268474031,0.357900468,-0.029667421,0.738025706,0.078974694,0.753961283,0.875656779,-1.266468863,0.439137477,-0.892742336,-1.17771982,0.682852985,-1.386457068,0.557760356,0.212696957,0.92251547,0.907443015,-1.264852677,0.868134017,0.619200758,-1.366104997,1.111587762,0.71857221,-1.458887027,0.660689369,1.311207175,1.181875378,-1.078020249,-0.629997883,0.855054951,0.725776108,-1.279024953,-0.519869176,-0.116953276,-1.71096586,0.352689587,-1.820120795,-0.04777126,-0.768077014,-0.886174405,-0.719026588,0.888277749,-1.076319084,0.453772802,0.762109385,1.725835487,1.379869529,-0.827810043,1.526431324,-0.716164208,-0.607156254,1.077931193,1.822827394,0.910134968,-0.848167257,1.468549317,0.216248734,-0.14960424,-0.034246259,-0.80318768,-0.349189587,-1.559149405,-0.034264026,-0.170436491,-0.07611766,-0.672580979,-0.1004915,0.245895817,0.019018585,0.353835589,-1.311215727,0.285132509,0.293268856,-0.106723168,-0.968639808,0.171905969,-0.569469921,0.665403381,0.127612613,-0.950843678,-1.250336388,0.168153522,0.30292194,0.978193124
Con2,1.624198519,1.591587921,-0.764869128,1.921284717,-0.684767137,0.55134315,1.301907071,1.281221705,1.658293734,0.01806594,1.580941505,0.987560281,1.517727964,0.854187336,-0.731913549,0.071930208,0.289314452,1.79556325,1.963612303,-0.653434997,2.025545461,1.626818862,1.97269562,1.89226823,1.706973884,1.69878151,1.560138582,1.538666039,-0.735604046,1.631733644,-0.565605653,-0.632143461,2.037669025,1.549635916,1.517502136,-0.849370425,1.593270267,2.172779158,2.456530446,2.393074839,2.884792789,2.011506667,2.630708896,3.064967509,1.557784563,0.597371388,0.337325043,1.871184904,3.073666633,3.139357964,2.126910869,2.55938593,2.968423843,2.949933609,2.905709902,1.684504592,0.092998874,-0.140587766,1.475014463,1.988782046,2.156324527,2.184521434,2.104535519,2.561216098,2.285088535,2.422521409,2.028942723,0.008988787,2.407224322,0.130505774,0.04455313,1.701583339,-0.012608762,2.049795012,1.972063254,2.130206436,2.114502533,-0.007185046,2.442308884,2.371314799,0.55569352,1.971316365,2.616933239,0.407027297,2.12122717,1.764802563,0.954555049,-0.783622652,-0.003940759,2.283777009,1.699901324,-0.429629145,1.380529461,2.466416657,-0.280733329,1.781407613,0.369033562,3.396606714,0.124022602,2.360379044,0.731204301,3.15840912,1.654460884,3.601596366,3.661507291,2.47260652,2.814929211,-0.439979655,2.837353879,-0.088184399,-0.227204819,2.984836451,1.545247511,2.332305808,-0.79046331,1.753191193,2.934554629,3.432756412,2.751316929,2.671197022,3.032384894,1.227907544,2.854142438,2.390505036,2.842829619,3.095742321,2.829796535,1.421962779,2.570219775,1.934836745,1.370824093,2.214995409,1.775924095,2.624706353,2.143930723,2.324639286,1.606571688,1.884407886,1.752693053,-1.091705703,-0.230032466,1.383934845,2.141017475,2.11844264
Con3,0.209332785,-0.14782904,-1.064365326,0.574549444,-1.08874184,-1.426574569,-1.060661804,-0.447869622,-0.561080356,-1.996968433,0.032167954,-0.731361442,0.095778766,-1.646951498,-1.301467072,0.101094935,-0.820843315,0.023494139,0.118993254,-1.079594066,0.159988025,-1.115926994,0.188248381,-0.061885048,0.037826096,0.333781948,0.627719272,0.553727902,-1.06545738,0.540352208,-1.091015431,-1.050513242,0.217107073,0.552820255,0.48864296,-0.994477225,0.642460485,-0.447003075,-0.286593953,-0.269333939,-0.441399294,0.130234703,-0.043047027,0.0144942,0.518168547,-1.243527097,-1.309572215,0.349639567,-0.168291668,-1.008206886,-0.395930359,-0.799130224,-0.582588108,-1.306980067,-0.344192631,0.551694329,-1.49078464,-1.48203336,0.370792904,0.353754838,0.180386846,0.415570456,0.205001706,0.321004814,0.149587271,0.825751741,0.777523434,-1.405236513,0.213271729,-0.820552951,-1.456965395,0.646996204,-1.485301183,0.383464401,0.183147306,0.643704165,0.367790553,-1.537533101,0.295024707,0.52373184,-1.451065667,0.649296817,0.148280736,-1.620513133,0.57258362,0.700064817,0.557656938,-1.099665314,-1.1386188,0.185961253,0.971657723,-1.733670576,-0.837875862,0.259927297,-1.632171401,-1.002852151,-1.667994013,-0.121883681,-1.107478845,-0.467767904,-1.030667734,0.206765018,-1.857629135,-0.621412726,-0.180979325,0.691159506,-0.218655213,-1.336282093,0.723294668,-1.082300815,-1.26566414,-0.549581088,0.271744137,0.824157963,-0.921832001,0.434726388,0.628696713,0.262307565,0.287035474,-0.234482115,0.210978565,-0.695550401,0.464354144,0.76537245,0.648474916,-0.157919144,0.142716952,1.756072377,0.605199837,0.54276685,-1.066967357,0.410327594,1.064957724,0.439020651,-0.667870283,-0.513884815,-1.085044037,0.335510465,1.011480361,-1.241805186,-1.258959453,-0.463736013,0.033906353,0.164785943
Con4,0.559867373,0.465211233,-0.976337051,0.765584811,-0.922205154,-0.544547021,0.000264877,0.595365164,0.667020798,-0.495819265,-0.263160655,-0.15450743,0.658085487,-0.095127343,0.182683241,0.867025554,-1.299377761,0.683363545,0.642643335,-0.92809897,0.759171415,-0.189463983,0.896708991,0.615084769,0.795720438,0.776618878,0.872276991,0.884738729,-0.954991836,0.902171011,-0.957902844,-0.91327856,0.865776038,0.880877609,0.870516778,-0.955081611,0.869706469,1.839614327,1.596409813,1.87104089,1.425670409,1.425011764,1.708764721,1.253909148,2.210186041,0.567626182,0.650210985,1.765171712,1.450032797,0.530168224,1.52656685,0.693209872,1.259344596,0.959113699,1.210901518,1.164649774,-0.88547971,-0.810581576,1.178523278,0.954242863,1.44920985,1.202432008,0.923078294,1.356416611,1.381461425,1.348442352,1.356826338,-1.110215199,1.432294193,-0.586328634,-1.08424782,1.686634889,-0.848284508,1.036442808,0.796490772,1.272408007,0.835365808,-0.745239895,1.176654976,0.880011232,-0.1813056,0.923255244,1.220454073,-0.922605191,0.971613637,1.182731672,1.165404247,-0.921903833,-0.77604461,1.457131428,0.857469798,-1.185784932,-0.80842821,1.396514426,-1.237498916,0.973837141,-0.142053999,1.479959433,-0.852041951,0.246406705,0.279933305,1.340558484,-0.331629186,1.108039715,1.129452967,1.410134449,0.51540594,-0.953510293,0.866546724,-0.918757761,-0.923784581,0.999984127,0.970480097,0.67748176,-1.051836047,0.802619013,1.536021523,0.6841696,1.454885874,0.711899057,-0.178786312,-0.177236888,1.101966148,0.939682974,1.381407928,1.08573633,0.999051237,1.097973923,1.136504341,1.401525723,0.048166037,0.896650849,1.22379854,1.103340537,1.046630358,1.427668186,0.304021791,1.453152251,1.302102666,-0.510545299,-0.968467542,1.149582207,1.024896659,1.594427273
Con5,-0.188210773,-0.559695876,-1.170771808,0.135983603,-1.234853047,-1.745900852,-1.532142272,-0.928857356,-0.964003463,-0.936698162,-0.812258021,-1.113024927,-1.703266485,-0.608464388,-2.05864637,-0.263293185,-0.351152498,0.295668364,0.383809493,-1.004766855,0.549672739,-0.772766287,0.485372818,0.153044509,0.414989109,0.598174202,0.707958926,0.638339716,-1.035077507,0.640107341,-1.053170848,-0.99304159,0.61925879,0.604293713,0.537973757,-0.980961496,0.680348961,-0.630549581,-0.882427498,-0.699511534,-0.472843125,-0.639202365,-0.593585699,-0.356986699,-0.244168577,-1.659523049,-1.781336067,0.173704033,-0.0147475,-0.750895104,0.834702128,0.213948609,0.361965403,-0.614275232,0.015329435,0.867610753,-0.963124675,-1.120333725,1.061205579,0.489131216,0.512508839,0.715370368,0.430576279,0.653746199,0.468127353,1.019674417,1.317513756,-0.83497534,1.026532344,-0.699391994,-0.960035467,0.987957345,-0.921264717,0.815599898,0.829040446,1.24101986,0.545630196,-0.472138859,0.969396795,1.161433517,-0.712429755,0.310952155,0.825753518,-0.840810462,1.013339619,1.671071928,1.842171211,-0.967508042,-0.814809806,1.05655599,2.054230956,-1.095041091,0.542296452,0.740267477,-0.769824098,0.126158188,-1.502682555,0.02849551,-1.069098423,0.316474717,-1.673651858,0.585612718,-1.677832893,-0.320591347,0.29864505,0.504134904,0.177893756,-1.240710024,0.991411635,-1.183368463,-1.172869539,0.109216659,1.064463162,0.537317737,-0.923827858,1.378121345,0.437355297,0.277803405,0.191616769,-0.131871809,0.108818008,-0.823451088,0.567140211,0.852872967,0.79186114,-0.238895583,0.180403206,1.014085857,0.790867779,0.860501169,-0.860391149,0.564718929,0.775300102,0.417814767,-0.447548114,-0.010413171,-0.77842191,0.603097981,1.481545217,-1.489847156,-1.146692545,0.656292228,1.206464887,-0.16184787
IR1,-1.374894811,-1.534298919,0.378076064,-1.30533273,0.41297649,-0.857843349,-1.300313619,-1.663777551,-1.666907655,-1.431406298,-1.39727438,-0.56702433,-1.974861724,-1.42923494,-1.287391924,-0.509904847,-1.051680865,-1.352917146,-1.379972249,0.374796175,-1.332606998,-1.510862007,-1.461038643,-1.429108225,-1.388401813,-1.232436761,-1.120404271,-1.12475597,0.387864375,-1.20746631,0.305852967,0.293102263,-1.47490196,-1.175083969,-1.225851225,0.548664279,-1.041967182,-1.36737851,-1.321778527,-1.411643293,-1.194433355,-1.55584379,-1.08280827,-1.185389387,-0.937019764,-0.550430354,-0.978133996,-1.117338731,-1.77887971,-1.117213422,-1.524398353,-1.463786483,-1.376398221,-1.356303889,-1.630312185,-1.162547044,-0.000953463,-0.09950771,-1.234092771,-1.275206637,-1.360928418,-1.280295222,-1.122284643,-1.233052304,-1.363873983,-1.180276696,-0.893076914,0.243210634,-1.377692859,0.342769875,0.218909357,-1.077755932,0.391423173,-1.262021236,-1.397865946,-0.95357556,-1.150017666,0.596253276,-0.89412613,-0.893141669,0.071392779,-0.860098908,-1.077872387,0.317211467,-1.090339518,-1.073188977,-1.296765496,0.559834939,0.451783963,-0.897201203,-1.140738805,0.778727554,0.870274337,-0.929340968,0.600689045,0.119088913,-1.342314141,-0.93391714,0.987310132,-0.638302031,-1.218308416,-0.67904148,-0.57033611,-0.820865918,-0.530728751,-0.588259303,-0.301466202,0.812572114,-0.778299121,0.787926911,1.054424698,-0.801631769,-0.952120415,-0.882572826,1.000979771,-1.032026919,-0.928488555,-0.671513379,-0.648410478,-0.655700733,-1.303132969,-0.511934913,-1.175209402,-1.064814811,-0.797232761,-0.804585836,-0.917827467,-0.858037861,-1.096885116,-0.995150567,0.032468943,-0.930073369,-1.307332945,-0.877106104,-0.157877095,-1.578149047,-0.711282726,-1.047576939,-1.078546302,-0.104302105,0.056488465,-1.555438311,-0.8669611,-1.078661029
IR2,-1.043765174,-0.894903769,0.754302885,-0.860943568,0.792500219,0.297995795,0.550663396,-1.006524524,-0.57608239,1.364227365,-1.614058843,0.767432737,-0.208820154,0.101307626,1.81807709,-1.903723601,-0.404251909,-1.018351206,-0.986056075,0.779290755,-1.054355682,-0.597160838,-1.101262015,-1.014894854,-1.035275907,-1.048911244,-1.000968263,-1.073817425,0.789323088,-1.114236963,0.688998278,0.672751162,-1.045249759,-0.995134634,-1.025465609,0.818560731,-1.021564995,-0.657482934,-0.310809049,-0.667942408,-0.616658882,-0.68686052,-0.497001315,-0.664230322,-0.665151146,0.779187848,0.57343124,-0.880134214,-0.365956522,0.038454793,-0.330129603,-0.374941588,-0.405276997,-0.265307802,-0.906180533,-1.021639605,0.711490988,0.695765217,-1.101435112,-0.509043032,-0.847950651,-0.811858542,-0.861608282,-0.871565039,-0.970845137,-0.885322392,-0.840585579,0.458154239,-0.964643098,0.541918445,0.578422165,-1.11942961,0.548467085,-1.124761557,-1.023714383,-1.169409846,-1.301514279,0.718102984,-1.118648773,-1.055573951,0.526097343,-0.760884056,-0.596794849,0.43936789,-1.306360151,-0.455145447,-1.028775043,0.890100793,0.914590027,-1.247305514,-0.865444455,0.782053649,0.531952499,-0.510588167,0.589713837,-0.523113923,0.116851245,0.252207589,0.750286075,-1.019117676,-0.554675893,-0.891201117,0.415013386,-0.003148868,-0.203452973,-0.783675602,-0.478110743,0.308302122,-1.065757284,0.309311213,0.889776945,-0.460760734,-0.905834256,-0.771993575,0.364595375,-0.683809221,-1.087551641,-1.072709155,-1.327778276,-1.013471916,-1.124769045,-0.132823511,-0.931853315,-1.133557958,-1.079121604,-1.004501832,-1.233459311,-1.336399307,-1.118405883,-1.223494099,-0.83947227,-1.112078975,-1.188435486,-1.172374332,-0.733043179,0.365705355,0.921695344,-1.203037854,0.342122113,1.056202371,1.239943089,-0.644636613,0.526232241,-1.327104367
IR3,-1.377992073,-1.275349837,0.448365545,-1.369529536,0.384366598,-0.497521657,-0.349655278,-1.462977524,-1.024945086,-0.507861432,-1.382150593,-0.463218873,-1.250529293,-0.578304125,-0.421445659,-1.910028586,-0.550190614,-0.946485194,-0.908204204,0.787309036,-1.101492479,-0.723971539,-0.990026356,-1.075299692,-0.949577538,-1.025491745,-1.010625511,-1.001159721,0.768693535,-0.953150591,0.682450115,0.782735808,-0.863667484,-0.963595524,-0.982027286,0.867411083,-0.990308518,-0.72873865,-0.53927977,-0.891688214,-0.741835115,-0.928530561,-0.632741946,-0.244134866,-1.070452089,0.353989111,0.264955328,-0.901440652,-0.588156451,-0.378358383,-1.067546813,-1.071039854,-1.183832762,-0.491415341,-0.713072143,-0.890212934,0.751480459,0.44975767,-1.180473486,-1.208876484,-1.034359394,-1.034937918,-1.087293973,-0.883994169,-1.180241696,-0.91008048,-0.623190568,0.513735666,-1.038758991,0.27502566,0.472989133,-0.97402019,0.433396729,-0.995067453,-1.143002347,-1.150497923,-1.077450104,0.478778759,-1.156074985,-1.039412796,0.074703563,-1.512990901,-0.941736138,0.318399261,-0.874536259,-1.002479018,-0.696593971,0.674288006,0.083712625,-0.814141192,-1.243452636,1.04240902,-0.444153299,-0.470689829,0.495531713,-0.961547185,-0.161448919,-0.471554277,0.695831362,-0.97633564,-0.850269402,-1.12736876,-0.306214379,-0.96577355,-0.498286248,-0.724191295,-0.103543609,0.6131528,-0.734268267,0.633872427,0.841128838,-1.291566041,-0.671541985,-1.044985782,0.898908937,-0.604462429,-0.415495364,-0.30097521,-0.594194219,0.274572692,0.397369867,1.127552989,-0.407588719,-0.750423349,-0.402151632,-0.346955285,-0.496394125,-0.487839539,-0.457191789,-0.899235597,0.671912122,-0.899077617,-0.619088651,-0.628214397,1.048855664,-0.268183481,-0.09372482,-0.994879477,-1.674695171,0.656322488,0.650310501,-0.595426802,-0.156671551,-0.566567897
IR4,-1.382699937,-1.363388682,0.474068448,-1.405254684,0.273992589,-0.536043891,-0.095520395,-1.04001057,-1.382954779,0.449388587,-1.077980857,-1.071174505,-1.088167325,-0.551380721,-0.732115672,-0.258722905,-1.683752013,-0.721316579,-0.521065777,1.075266211,-0.694566943,0.045732624,-0.62756353,-0.72962081,-0.748948068,-0.851472957,-0.896520304,-0.954716926,0.946721424,-0.852464383,0.923678237,0.985697538,-0.696774129,-0.89880228,-0.910114204,0.957428832,-0.954720631,-1.155012196,-1.189586509,-0.882867866,-1.135526096,-1.02656422,-1.232215681,-1.075650708,-0.802128434,-0.577335531,-0.2734452,-0.978459374,0.118226703,0.611995677,-0.221570276,-0.144556839,-0.311992193,0.188947815,-0.067561944,-0.89708771,1.378045027,1.439950762,-0.451796746,-0.636919511,-0.649401223,-0.659485534,-0.732301502,-0.54624645,-0.493395143,-0.65024992,-0.892139892,1.019332799,-0.73857831,0.918010488,1.001089955,-0.975105577,1.023479926,-0.629435096,-0.513289937,-0.833646366,-1.153802744,0.836105329,-0.834787481,-1.024599517,1.034414287,-0.647301845,-0.73056697,1.018435915,-1.078877965,-1.044537669,-0.491130647,0.636024081,0.191675359,-0.95803798,-0.614463667,0.28721825,-0.24785115,-0.932573127,0.754590558,-1.712039105,-0.180988937,-0.095067712,1.077468362,-0.64310581,-1.304842381,-0.497661338,-0.266870495,-0.139792587,-0.253052402,-1.038126251,-1.547162612,0.025048871,-0.866765578,0.540909599,1.005054032,-0.495532799,-0.684695616,-0.831966492,1.017768636,-1.102086208,-0.783772056,-0.647069527,-0.778518527,-0.462568225,0.46126192,0.929691003,-0.53918249,-0.649534105,-0.738560685,-0.463069328,-0.895951138,-0.278645653,-0.89209968,-0.648242722,0.330302038,-0.889991121,-1.097608895,-0.698248292,0.193357002,0.443672009,1.938243073,0.246869933,-0.997035273,2.303251138,2.170411637,-1.199984286,-0.573870408,-0.969551979
IR5,-1.079834237,-1.001540803,0.713970808,-0.988608411,0.608552438,0.279886807,1.033310079,-0.96453473,-0.945293954,0.346863366,0.598510977,-1.552692426,-0.674385572,0.071268367,0.783529164,-0.361771051,0.223006046,-0.665115894,-0.514322611,1.121348638,-0.681668734,0.053621272,-0.411759394,-0.616910105,-0.557474657,-0.844000549,-0.853832856,-0.849669884,1.066287714,-0.857970321,1.069016366,1.102709207,-0.642652923,-0.855798181,-0.778604141,1.017533581,-0.942247745,-1.244030476,-1.166750209,-0.966824515,-0.768503139,-0.868603683,-0.968295202,-0.696007272,-0.776573986,-0.158444934,0.531102495,-0.824671047,-0.001760152,0.32901626,-0.099671058,-0.272807429,-0.085114379,0.125654523,-0.053010642,-0.869059438,1.334131749,0.933456284,-0.688225176,-0.985824463,-0.666170463,-0.767181283,-0.448019759,-0.816218632,-0.738603818,-0.941645514,-1.270279414,0.804770942,-0.630428341,1.110829568,1.029907288,-0.895001385,0.835729687,-0.738064267,-0.849018684,-0.837206073,-0.78608435,0.755966331,-0.896396251,-1.038148329,1.018548564,0.178910332,-0.505025404,1.206284313,-0.954569518,-0.778541926,-0.800254474,1.415889195,1.0486761,0.300067283,-1.195790428,1.075155291,0.347904673,-0.301698456,1.351933594,0.415026002,0.748854762,0.133179837,0.625610736,0.187160107,-0.025015822,-0.820531397,0.454036831,-0.52164882,-0.476092427,-0.681647866,-0.376267226,0.896221851,-0.898928628,0.689743572,0.696552905,-0.742287196,-0.999526033,-0.953466324,0.731775568,-0.93050137,-0.059296246,-0.406059105,-0.446829991,0.122551404,0.109405215,1.494868856,-0.210053356,-0.704404271,-0.367706045,-0.238524802,0.115792355,0.914748019,-0.610288738,-0.812112904,1.021385422,-0.635402889,-0.399262471,-0.654888211,1.214896047,-0.127276181,0.341988881,-0.714141394,-0.609148158,1.349246716,0.75257928,-0.324793039,-0.973280487,-1.080767099
LCA+IR1,0.7184662,0.736807915,-0.937519854,0.358503222,-0.947151011,-0.903122193,-0.771430107,0.208831215,0.172556157,-1.025480893,-0.065368245,-0.906229543,-0.103840541,-1.077733265,-0.84415949,-0.460390696,-0.002261899,0.154786333,0.218215774,-1.125570591,0.009163238,-0.475142557,0.030651647,0.252563704,0.209281653,0.433404132,0.614875133,0.554126638,-1.059311072,0.521111359,-1.14262498,-1.149966386,0.1064296,0.549167324,0.523923111,-1.02963589,0.70497647,0.075507712,-0.265459603,0.275448787,0.286107385,0.956123575,0.319619522,0.383668707,0.112680004,-0.95890296,-0.754138419,0.694358898,-0.198772869,-0.778643811,0.277079997,0.802661827,-0.044974929,-0.129182294,-0.031731904,0.998979857,-0.942604831,-0.877048667,1.098847805,0.603481354,0.633782169,0.644996832,0.888893939,0.471257741,0.290215878,0.305933032,0.26323168,-0.688587615,0.448579101,-0.879435881,-0.831532125,0.482933718,-0.874378875,0.880610641,0.891962494,0.526396923,0.827821891,-0.80688845,0.519555044,0.858161644,-0.965686131,0.084432706,0.841461836,-0.917511653,0.799621177,0.576319245,0.078995101,-1.029961037,-1.034759125,0.535691082,0.980696647,-0.79530656,-1.682459686,0.991019241,-0.499375729,1.200082528,-0.719161672,-0.696839597,-1.008030678,0.042116996,1.249219379,0.217435242,-0.664905628,-0.244947623,-0.059901454,0.729304605,1.284504362,-0.512351759,0.210622877,-0.815066379,-0.786415065,1.01130657,1.172999181,0.153784825,-0.960799758,0.569832262,0.019279454,-0.535535457,-0.443745117,-1.193995372,-0.467371535,-1.497433444,-0.681230741,0.058242008,-0.291284163,-0.353280216,-0.330999742,-0.493190651,-0.229979829,-0.101909189,-1.384398134,0.108721994,0.15005154,-0.391492702,-1.3506078,0.05342395,-0.831608218,0.041037044,0.261621907,-0.57106234,-0.840066121,0.754610846,0.358076291,0.477792854
